entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Pest control,activity,Disease control,activity,subclass of,"This ensures maximum utilisation of the nutrients supplied, and also prevents pests and diseases from spreading to all the plants belonging to one crop in a field.
"
Croatia,sovereign state,Sovereign state,country,instance of,"This way, both crops can give better returns.
"
Cyperinus rotundus,taxon,Motha,taxon,parent taxon,"(gokhroo), Parthenium (gajar ghas), Cyperinus rotundus (motha).
"
Light,electromagnetic wave,Food,disposable product,part of,"They compete for food, space and light.
"
Weed,plant organ,Nutrient,chemical substance,subclass of,"Weeds take up nutrients and reduce the growth of the crop.
"
Root,plant organ,Plant,taxon,part of,"Generally insect pests attack the plants in three ways: (i) they cut the root, stem and leaf, (ii) they suck the cell sap from various parts of the plant, and (iii) they bore into stem and fruits.
"
Virus,taxon,Pathogen,disease causative agent,subclass of,"Diseases in plants are caused by pathogens such as bacteria, fungi and viruses.
"
Water,None,Soil,granular material,part of,"These pathogens can be present in and transmitted through the soil, water and air.
"
Insect,taxon,Weed,plant disease,has effect,"Weeds, insects and diseases can be controlled by various methods.
"
Herbicide,pesticide,Pesticide,mode of toxic action,subclass of,"One of the most commonly used methods is the use of pesticides, which include herbicides, insecticides and fungicides.
"
Soil,granular material,Crop,Cultigen,part of,"These chemicals are sprayed on crop plants or used for treating seeds and soil.
"
Pollution,environmental issue,Pollution,environmental issue,subclass of,"However, excessive use of these chemicals creates problems, since they can be poisonous to many plant and animal species and cause environmental pollution.
"
Mechanical weed control,Weed control,Weed control,engineering process,subclass of,"Weed control methods also include mechanical removal.
"
Intercropping,engineering process,Crop rotation,sowing,part of,"Preventive methods such as proper seed bed preparation, timely sowing of crops, intercropping and crop rotation also help in weed control.
"
Ploughing,agricultural machinery,Summer ploughing,activity,use,"Some other preventive measures against pests are the use of resistant varieties, and summer ploughing, in which fields are ploughed deep in summers to destroy weeds and pests.
"
Lebanon,sovereign state,Rome,comune of Italy,capital,"Which of the following conditions will give the most benefits?
"
Irrigation,engineering process,Agriculture,academic discipline,use,"(a) Farmers use high-quality seeds, do not adopt irrigation or use fertilizers.
"
Irrigation,engineering process,Agriculture,academic discipline,use,"(b) Farmers use ordinary seeds, adopt irrigation and use fertilizer.
"
Irrigation,engineering process,Agriculture,academic discipline,use,"(c) Farmers use quality seeds, adopt irrigation, use fertilizer and use crop protection measures.
"
Intercropping,crop rotation,Crop rotation,sustainability,subclass of,"Q Fig. 12.2 : Intercropping The growing of different crops on a piece of land in a pre-planned succession is known as crop rotation.
"
Crop rotation,engineering process,Crop,Cultigen,facet of,"Depending upon the duration, crop rotation is done for different crop combinations.
"
Irrigation,engineering process,Agriculture,academic discipline,use,"The availability of moisture and irrigation facilities decide the choice of the crop to be cultivated after one harvest.
"
Crop rotation,system,Agriculture,academic discipline,part of,"If crop rotation is done properly then two or three crops can be grown in a year with good harvests.
"
Weep,organisms known by a particular common name,Pest control,activity,subclass of,"If weeds and pests are not controlled at the appropriate time then they can damage the crops so much that most of the crop is lost.
"
Weed,plant,Plant,taxon,subclass of,"Weeds are unwanted plants in the cultivated field, for example, Xanthium Rationalised 2023-24  SCIENCE 146 Activity _____________12.1 • Visit a nearby garden/agricultural field and make a list of the weeds and the flowers/crops found in the area.
"
Insect,taxon,Pest,activity,subclass of,"Also, make a list of insect pests, if any, infesting the flowers/crops.
"
Storage of grain,storage,Storage,architectural structure,subclass of,"STORAGE OF GRAINS Storage losses in agricultural produce can be very high.
"
Bacteria,taxon,Bacteria,taxon,subclass of,"Factors responsible for such losses are biotic— insects, rodents, fungi, mites and bacteria, and abiotic— inappropriate moisture and temperatures in the place of storage.
"
Systematic warehouse management,warehouse,Warehouse,commercial building,subclass of,"These factors can be controlled by proper treatment and by systematic management of warehouses.
"
Preventive agriculture,agriculture,Agriculture,academic discipline,subclass of,"Preventive and control measures are used before grains are stored for future use.
"
Fumigation,cleaning,Cleaning,activity,subclass of,"They include strict cleaning of the produce before storage, proper drying of the produce first in sunlight and then in shade, and fumigation using chemicals that can kill pests.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Biological control,preventive medicine,Preventive healthcare,medical specialty,subclass of,"Why should preventive measures and biological control methods be preferred for protecting crops?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Lost grain,grain,Grain,food ingredient,subclass of,"What factors may be responsible for losses of grains during storage?
"
Cereal,grain,Grain,food ingredient,subclass of,"Activity _____________12.2 • Collect grains/seeds of cereals, pulses and oil seeds and gather information about the seasons in which they are sown and harvested.
"
Animal husbandry,science,Animal husbandry,science,part of,"12.2 Animal Husbandry Animal husbandry is the scientific management of animal livestock.
"
Animal husbandry,science,Animal husbandry,science,part of,"It includes various aspects such as feeding, breeding and disease control.
"
Sheep,organisms known by a particular common name,Animal husbandry,science,use,"Animal-based farming includes cattle, goat, sheep, poultry and fish farming.
"
Egg as food,food,Milk,food,subclass of,"As the population increases and as living standards increase, the demand for milk, eggs and meat is also going up.
"
Laboratory,research institute,Agriculture,academic discipline,part of,"Also, the growing awareness of the need for humane treatment of livestock has brought in new limitations in livestock farming.
"
Lamb and mutton,meat,Meat,food,subclass of,"Thus, livestock production also needs to be improved.
"
Irrigation,engineering process,Agriculture,academic discipline,use,"12.2.1 CATTLE FARMING Cattle husbandry is done for two purposes— milk and draught labour for agricultural work such as tilling, irrigation and carting.
"
Indian cattle,cattle breed,Cattle,organisms known by a particular common name,subclass of,"Indian cattle belong to two different species, Bos indicus, cows, and Bos bubalis, buffaloes.
"
Milk animal,organisms known by a particular common name,Milk,food,use,"Milk-producing females are called milch animals (dairy animals), while the ones used for farm labour are called draught animals.
"
Niacin,None,Vitamins,organic compound,subclass of,"Milk production depends, to some extent, on the duration of the lactation period, meaning the period of milk production after Q Table 12.2: Nutritional values of animal products Animal Products Fat Protein Sugar Minerals Water Vitamins Milk (Cow) 3.60 4.00 4.50 0.70 87.20 B1, B2, B12, D, E Egg 12.00 13.00 * 1.00 74.00 B2, D Meat 3.60 21.10 * 1.10 74.20 B2, B12 Fish 2.50 19.00 * 1.30 77.20 Niacin, D, A *Present in very small amounts Per cent (%) Nutrients Rationalised 2023-24  IMPROVEMENT IN FOOD RESOURCES 147 the birth of a calf.
"
Milk,food,Lactation,biological process,produced by,"So, milk production can be increased by increasing the lactation period.
"
Jersey cattle,cattle breed,Swiss cattle,cattle breed,subclass of,"Exotic or foreign breeds (for example, Jersey, Brown Swiss) are selected for long lactation periods, while local breeds (for example, Red Sindhi, Sahiwal) show excellent resistance to diseases.
"
